,Arterial EC,B cell,Breast basal cell,Breast cancer specific luminal cell,Breast cancer specific proliferation luminal cell,Capillary EC,CD4 T,cDC2,CFD fibroblast,CXCL1/2/3 fibroblast,CXCL13 exhausted CD8 T,Fibroblast,GZMH CD8 T,GZMK CD8 T,IgA plasma,IgG plasma cell,INF responsed T,Luminal progenitor,Lymphatic EC,Macrophage,Mast cell,Monocyte,mregDC,NK cell,pDC,Pericyte,Proliferation macrophage,Proliferation T/NK,Smooth muscle cell,Tfh,TGM2 luminal cell,TNBC-specific epithelial cell,Treg,Venous EC
GABPB1-AS1,0.5268022837699425,1.5234002632959303,0.7077163737154016,0.8999646299339699,0.6303488038340158,0.9271230661153238,0.9652515705346116,0.643127100816241,1.0407376470091827,1.258056335853643,1.0637274585789376,0.5144921077375659,1.1189065369198845,0.9345732843034067,0.31591012990500295,0.26600833237646326,0.26206408870858344,0.6926974655607276,0.8117427578742031,0.40699811555792503,0.6631964456577536,0.526610384108797,0.5025763306357256,0.9802775792400776,1.0812976681704423,0.8855789819584681,0.39692529500926477,1.5059799121620603,0.5233077566629476,0.8924965829257867,0.6200060164658261,1.0460759020092094,0.9623087864454585,0.5076261598348984
PAPOLA,1.7827236560580924,1.5458109892873548,1.1528709355978124,1.0984828053868174,1.0971763230119702,1.8109886459886555,1.0424814366605277,1.158935646585017,1.133271939227525,1.4130390985499037,1.6864908221423973,0.9117864515078762,1.3377030329313393,1.2172243966829996,0.5999441773525594,0.5190807958042736,0.875284707082539,0.9722874349731454,1.5991268405541783,1.1582667562919866,0.9808731715961456,1.1690883257588354,1.2827746848102792,1.3603461939620654,1.4354437275921688,1.450302973920271,1.2394115385538522,1.5624346264484525,1.2279552224898918,1.302932403272262,1.9179471353775803,1.1155166787758448,1.557052293629495,1.6072497734767064
HEXA,0.3067383539322389,0.36783552313270507,0.2196533122196159,0.33240486664683755,0.2742680006596039,0.38150259642085943,0.1712678257669459,0.6516156537922757,0.7061350398946528,0.2072169491713714,0.3343329417317398,0.7723784813706784,0.28625952742177563,0.19417714188583046,0.12969251846512575,0.12662643557377046,0.08222000862278928,0.2579974698011977,0.46181272921830163,1.4742545814485308,0.6499813654098844,0.8333060535828164,0.14856283156507857,0.39116687802277567,0.4157739032909685,0.23212856301000376,1.3624709085086641,0.2794402201775676,0.17255727553255368,0.296682743571954,0.23782662023169768,0.6166852117278774,0.29469799130763,0.359067992371803
HECW2,0.5495799170291522,0.015364077605284118,0.0016807259960930924,0.009593645743379854,0.0,1.7972411296769242,0.013226867448035352,0.021389621145020424,0.01023646617908872,0.0,0.01997502108913915,0.05227072707407916,0.016390494958288974,0.018550654598553755,0.00528599917027668,0.0,0.0060317015470122025,0.013255317834471307,0.39209258686508897,0.010682175262341177,0.029686760446904593,0.04117528491265299,0.0,0.024715156404982914,0.005751740272877997,0.00821362755356449,0.027445037503729952,0.038646497627657636,0.0,0.06299091119072342,0.01100488471483314,0.01617782539656136,0.0547185986274535,0.15531248229110423
SH3BP1,0.016657480644158593,0.2985705619241878,0.07049632435348153,0.01936914061579361,0.06807507330208096,0.002479063596843358,0.417328895001509,0.3632644569937645,0.015505371644117477,0.004684536424018734,0.9923539936443416,0.0162592983160278,0.7346427817359958,0.678095380260775,0.008903812246649526,0.06499346919804076,0.8504096269871163,0.06213865081915269,0.007191075479329921,0.3653373016919269,0.18927404955783506,0.31184504715205685,0.20569120518432796,0.7596968872057481,0.32523259214071776,0.0,0.2716370080329322,0.8615739166830121,0.02854706608650219,0.8662431246321399,0.008620916826754445,0.23200295135400295,0.6806769800214525,0.0
PTBP3,0.5701552794308544,0.726223321492953,0.2954962636652391,0.44615935591015415,0.4974734713326138,0.6560639458745017,0.5823924671043894,0.6437073568391539,0.27391534526451083,0.20787420124392342,0.8048760553510116,0.4271715927763911,0.7002881543169058,0.7076559639893759,0.08878781986251619,0.10143878089611569,0.627077717586409,0.3857169565283191,0.4776512350999235,0.7545353200157255,0.4109696184325614,0.5295001431943246,1.3037604740474564,0.7057399011392775,1.67343619446777,0.21950185046095053,0.6662114947303551,0.9110235048337718,0.20047531053641024,0.5777412491681547,0.8439422424564215,0.8077877481583743,0.7546704430638662,0.3952092372922857
CD58,0.5135721033147088,0.44131933129808826,0.18505515872856793,0.07661018124289426,0.1494352974371739,0.31490327644238864,0.4540934660933917,0.7022302226671934,0.16303475108669077,0.1256300881623414,0.6505478289401042,0.1499614811520464,0.6662832795136475,0.6490390406270831,0.05686661259013871,0.05658346923898996,1.1684611499214936,0.20921523737741934,0.5418790587033171,0.7587893456480777,0.45779897064481395,0.7410847625084642,1.0783629552893534,0.5104635065195565,0.10539569486451537,0.15580685634056593,0.561125124689491,0.6471798289637807,0.14787918651681842,0.8590642275403777,0.1368551879288874,0.6074017397892942,1.0295877505677666,0.19710661803147844
UBE2E2,0.2555113409955665,0.2944688741830058,0.3974716189547317,0.20941464553055938,0.19302151356377165,0.3242364257960693,0.024860269573421852,1.0047191992818048,0.35288094761143163,0.3284915905719209,0.0,0.7032611609665502,0.02690851227710662,0.0,0.08648296800552903,0.04787113654795128,0.06324583829429582,0.3592655791901141,0.3485125512834428,0.5793535429331039,0.12145725725162876,0.8559037426069546,1.281935347488469,0.021391126881468,0.701407519206421,0.5599549144791589,0.5576266526111037,0.0,0.3317751055712687,0.008494729918525509,0.49543300462430995,0.054976976572822175,0.014690897277139243,0.5054103087130196
SH3GLB1,1.9880659455181309,0.8171987964495909,0.6993439936393517,0.5786515849643896,0.5927788054772938,1.5376956019015806,0.6284427503177489,0.7587855670025339,0.701334622785076,0.8437142186564259,1.2474129930386681,1.03236525458569,0.96206914304402,0.8974509468456598,0.4864171486618858,0.39811082680320886,1.0230683502701698,0.741480435050651,0.7398728508836466,1.0678757364181644,0.8147345154279851,0.7987711080318818,0.8094742095301533,1.099554482033296,0.8218877357805621,0.7345402628493845,0.9256033104860198,1.0506218634733762,0.94947126530931,1.185279899465339,1.1216572828413012,1.3525924949396537,1.0945948569370538,1.3629939894091387
MPZL2,0.16482626231846254,0.01242114416001222,1.42154506116773,0.1431866347500873,0.17957799782555842,0.3296274730917528,0.0,0.054254004318018155,0.021063372864564712,0.019352577780061355,0.020354343219216996,0.011715212469297603,0.027900403200880275,0.0,0.0,0.02460931305784182,0.0,0.6284992423654618,0.0117742541329451,0.0371904140323189,0.0,0.04048894765586477,0.007359045833267621,0.028555558510510587,0.00802644559367886,0.055462336358543377,0.022039742746232507,0.043530944099269345,0.014623584243780182,0.01950325679596156,0.9138263201824341,0.6855387539431965,0.004572345869363443,0.33549690806768406
